posterId,title,description,somCoordinate,representationsCoordinate,clusterId
ダミー1,ダミータイトル1,ダミー内容説明1,1412,,
ダミー2,ダミータイトル2,ダミー内容説明2,1490,,
po000001,開港112年　函館港まつり,開港112年函館港まつり、8月1日～5日、函館市・函館港まつり協賛会、印刷/函館・竜文堂印刷所、サインあり、昭和45年7月22日受付,545,,131.0
po000002,開港111年　函館港まつり,開港111年、函館港まつり、8月1日～5日、函館市・函館港まつり協賛会・青函船舶鉄道管理局、印刷/竜文堂印刷、サインあり,751,,131.0
po000005,開港109年記念　函館港まつり,`67、HARBOUR、FESTIVAL、OF、HAKODATE、開港109年記念、函館港まつり、主催函館市・函館港まつり協賛会、8月2日→6日、5日、1万人踊りパレード、全国花火コンクール、6日、全函館吹奏楽・鼓笛パレード、(デザイン)阿部立、(フォト)小林吉男、(印刷)第一印刷所,1076,,131.0
po000006,開港108年記念　函館港まつり,開港108年記念、函館港まつり、1万人踊りパレード・花火大会《6日》、全函館吹奏楽鼓笛パレード《7日》、8月3日→7日、写真は昨年の港まつり1万人踊りパレード風景…、主催＝函館市・函館港まつり協賛会、(写真)北海道新聞社函館支部、(デザイン)阿部立、(印刷)函館第一印刷所,1594,,131.0
po000008,港まつり,HAKODATEMINATOMATURI、港まつり、7月1日ヨリ3日間、函館市、東京築地ジーチーサン商会製、サインあり,562,,129.0
po000011,函館市港まつり,函館市、七月一日ヨリ三日間、京都祇園観光社發行、電話祇園五七八番、サインあり,1515,167.0,129.0
po000012,函館日日新聞社,一、所論公正、一世を善導す、本紙に依り始めて筆の偉力を知る、一、社会から家庭への忠実なる連絡は本紙職責の第一要義である、一、發行部数の夛きは広告宣傳力の大なる事を最も雄辯に物語る、函館市蓬莢町一五五番地、函館日日新聞社、電話一五八九番二四九九番,1075,,110.0
po000013,婦女界,只今出来いたしました、婦女界、新春特別号、定価金二十銭,133,,204.0
po000015,開港119年記念函館港まつり,開港119年記念函館港まつり、期間・8月3日(水)～8月7日(日)、8月5日(金)・一万人踊りパレード、8月6日(土)・全国花火大会、8月7日(日)・鼓笛大音楽パレード、主催・函館港まつり協賛会、撮影・吉村博道、デザイン・仲経晴、印刷・竜文堂、資料提供・函館五嶋軒、東日本フェリー東日本観光、,1758,,131.0
po000017,開港百十八年記念函館港まつり,開港百十八年記念函館港まつり、八月四日(水)から八日(日)まで、八月六日(金)一万人踊りパレード・七日(土)全国花火コンクール・函館マーチングバンドフェスティバル・八日(日)鼓笛大音楽パレード、東日本フェリー東日本観光、主催・函館港まつり協賛会、撮影・吉村博道、デザイン・仲経晴、印刷・竜文堂,1598,,131.0
po000018,開港116年記念　ペリー来航120周年　函館港まつり,函館港まつり、開港116年記念、ペリー来航120周年、8月1日(木)から5日(月)まで、二日(金)……一万人踊りパレード、三日(土)……全国花火コンクール・吹奏楽フェステバル・歩行者天国、四日(日)……鼓笛パレード、主催・函館港まつり協賛会、東日本フェリー東日本観光、撮影・吉村博道、デザイン・仲経晴、印刷・竜文堂印刷、,1750,,131.0
po000020,開港百十三年記念　函館港まつり,開港百十三年記念〈八月四日～八日〉、函館港まつり、函館市、函館港まつり協賛会、印刷＝竜文堂印刷所、昭和46年6月29日受付,340,,131.0
po000022,長編講談,博文館、伊達騒動、佐倉宗五郎、文殊九助、赤穂義士、由井正雪、紀伊国屋文左衛門、銭屋五兵衛、木下藤吉郎、大久保彦左衛門、怪談牡丹燈籠・佐賀の夜桜、岩見武勇博・笹野名槍博、衛兵長院隨幡、荒木又右衛門・澁川伴五郎、天一坊・村井長庵、長編講談、四六判美本口繪數色刷二枚揷画八十餘個、紙數五百頁、各参拾銭、拾二卷既刊、續卷毎月刊行、山本帳簿製造所石印,1433,,52.0
po000023,岩波講座　日本文学,岩波講座日本文学、鬱積せる新研究の発表、内容見本進呈,1460,,154.0
po000024,婦人世界,品のよい実用向きの婦人雑誌は何？、婦人世界、実業之日本社,197,,12.0
po000025,少女の友,少女の友、実業之日本社,1441,,4.0
po000026,日本少年,日本少年、無類飛切に面白い！、定価十二銭、実業之日本社,1685,,12.0
po000027,開港121年記念　函館港まつり,開港121年記念函館港まつり、8月1日(水)～5日(日)、7月31日(火)前夜祭、8月1日(水)～5日(日)おまつり広場、3日(金)一万人踊りパレード・マーチングバンドフェスティバル、4日(土)全国花火大会、5日(日)鼓笛大音楽パレード・歩行者天国、資料・若山徳次郎（五嶋軒）・市立函館図書館所蔵、写真・吉村博道・吉江和幸、デザイン・平塚英昭、印刷・竜文堂印刷株式会社、主催/函館港まつり協賛会、東日本フェリー・東日本観光,260,34.0,131.0
po000029,さっぽろ,SAPPOROさっぽろ、さっぽろ雪まつり1/31・2/1・2/2、日立テレビ、,871,,109.0
po000030,岩橋英遠展,「神々とファラオ」（昭和42年）、道産子の追憶、岩橋英遠展、主催、北海道立近代美術館・朝日新聞社・岩橋英遠展実行委員会、後援、札幌市教育委員会、観覧料、一般300円（250円）・高・大生200円（150円）・小・中生150円（100円）、（）内は前売および10名以上の団体料金、9/16(土)→10/1(日)、1978月曜日休館・9月23日祝日開館、10:00→17:00（入館は16:30まで）、北海道立近代美術館、札幌市中央区北1条西17丁目、地下鉄東西線〈西18丁目〉駅下車徒歩5分、国鉄バス・中央バス〈西17丁目〉停留所下車徒歩1分、電話・644-6881（代）,1494,160.0,17.0
po000032,はこだて　,北海道観光の起点はこだて、函館市、函館観光協会、湯の川温泉観光協会、青函船舶鉄道管理局、写真・函館山から月の出た市街夜景を望む、撮影・米倉秋男、デザイン・阿部立、印刷・大日本印刷株式会社,1283,,117.0
po000033,松前,史蹟とさくらの名所松前、松前町、松前観光協会、青函船舶鉄道管理局、サインあり,130,,120.0
po000034,松前,松前、桜と史蹟の名所、松前城再建中、松前観光協会・松前城再建期成会・青函船舶鉄道管理局,36,,120.0
po000035,第10回箱館五稜郭祭,第10回箱館五稜郭祭、昭和54年5月19日/20日、19日(土)維新行列/開城セレモニー、20日(日)維新行列/音楽パレード、津軽領山、南部領山遠看、青盛、箱館山、大畑、立待岬、弁天砲台、船御番所、函館湾、五稜郭、政府軍総参謀、黒田了介、政府軍軍艦、田島圭蔵、幕府軍総裁、榎本武揚、政府軍軍艦、前田雅楽、幕府軍陸軍奉行、大島圭介、幕府軍海軍奉行、荒井郁大助、幕府軍副総裁、松平太郎、題字、中島荘牛、絵師、平塚英昭、刷所、第一印刷、企画制作、株式会社電通函館支店、発行所、五稜郭祭実行委員会、昭和五十四年三月御届、五稜郭祭十周年記念五稜郭開城之図、主催/函館市・箱館五稜郭祭協賛会、サインあり,226,,118.0
po000038,恐山（国鉄周遊指定地）と薬研温泉,恐山（国鉄周遊指定地）と薬研温泉、むつ市・大畑町・むつ観光協会・下北バスKK・東日本フェリKK、,330,,112.0
po000039,松前,お城と八重桜、松前、松前町、松前観光協会、青函船舶鉄道管理局,262,,120.0
po000041,はこだて　,はこだて、HAKODATE、函館市・青函船舶鉄道管理局・函館観光協会・湯の川温泉観光協会、≪海の女王八甲田丸≫撮影、米倉秋男、デザイン、阿部立、印刷、凸版印刷株式会社,1597,,117.0
po000042,はこだて　,はこだて、HAKODATEHOKKAIDO、新日本百景第一位函館山、函館市・青函船舶鉄道管理局・函館観光協会・湯の川温泉観光協会、撮影：米倉秋男、印刷：大日本印刷KK、、、,1485,,117.0
po000043,はこだて　,北海道観光の起点、はこだて、≪写真・教会と連絡船≫、函館市・函館観光協会・函館湯の川温泉観光協会・青函船舶鉄道管理局、デザイン＝阿部立、フォト＝加賀俊男、印刷＝凸版印刷株式会社、,66,,117.0
po000044,はこだて　,はこだて、HAKODATEHOKKAIDO、特別史跡・五稜郭跡、函館市・青函船舶鉄道管理局・函館観光協会・湯の川温泉観光協会,1409,,117.0
po000045,函館　[函館観光ポスター],函館、函館市・函館観光協会・湯の川温泉観光協会・青函船舶鉄道管理局、題字＝太田鶴堂、写真＝吉村博道、印刷＝凸版印刷株式会社,1939,,111.0
po000046,函館　,函館、函館市・函館観光協会・湯の川温泉観光協会・青函船舶鉄道管理局、題字＝太田鶴堂、写真＝吉村博道、印刷＝大日本印刷株式会社,285,,117.0
po000047,函館　[函館観光ポスター],函館、週刊読売「新日本百景」第一位、函館山より、函館市・函館観光協会・青函船舶鉄道管理局、大日本印刷株式会社印刷,228,,111.0
po000048,はこだて　,はこだて、石川啄木像、函館市・函館観光協会・湯の川温泉観光協会・青函船舶鉄道管理局,363,,117.0
po000049,松前,北海道文化の発祥地、松前、史蹟とさくら、松前町・松前観光協会・青函船舶鉄道管理局,1526,,120.0
po000050,松前,北海道文化の発祥地、史蹟とさくらの松前、松前町・松前観光協会・青函船舶鉄道管理局,1864,,120.0
po000051,松前,史蹟とさくらの名所、松前、松前町・松前観光協会・青函船舶鉄道管理局,482,,120.0
po000052,松前,史蹟とさくらの松前、松前・矢越道立自然公園、松前町・松前観光協会・青函船舶鉄道管理局,1862,,120.0
po000053,オリンピック東京大会,オリンピック東京大会、駒沢陸上競技場・駒沢オリンピック公園管制塔・屋内総合競技場本館の写真付き、国内聖火リレーコース、オリンピック東京大会競技別会場日程一覧付き、文部省,1407,,159.0
po000057,京都へ,京都へ、京都市・大阪鉄道管理局、大鉄局P5420、29.5.30迄掲出、大日本印刷京都工場印行、サインあり,950,,107.0
po000058,家庭と青少年の日,家庭と青少年の日、毎月第3日曜日、1月～3月、あたたかい家庭にはぐくまれる青少年、4月～6月、健康で明るい青少年、7月～9月、きれいな社会に育つ青少年、10月～12月、函館圏をきずく青少年、主唱、函館市・函館市青少年問題協議会、サインあり、昭和46年3月27日受付,673,,168.0
po000059,たすけあって共同募金,10月1日から、たすけあって共同募金、みんなで赤い羽根をもっと大きく育てよう！災害時の緊急援護などにも、恵まれない人たちにお年玉を、民間福祉施設の人たちのために、地域の福祉をたかめるために、′69BYH.TAKAHASHI..KYODOPRINTINGCo.、LTD、昭和45年1月17日受付,768,,185.0
po000060,発明の日,4月18日、′71発明の日、通商産業省・特許庁、昭和46年4月6日受付,624,,70.0
po000061,春の交通安全　道民総ぐるみ運動,春の交通安全道民総ぐるみ運動、新入学（園）児童を交通事故から守りましょう、期間、4月1日ー5月1日、特別強化期間、4月5日ー4月10日・4月26日ー5月1日、北海道・交通安全道民運動推進委員会,1707,,213.0
po000062,交通安全,みんなそろって交通安全、右側を歩こう、横断歩道を渡ろう、信号を守ろう、函館市・函館市安全都市推進委員会、昭和46年3月29日受付,141,21.0,213.0
po000063,港まつり,港まつり、7月1日⇒5日、函館市、株式会社、北海商報社印行、サインあり、昭和52年6月20日印,926,,129.0
po000067,函館開港百年記念展,函館開港百年記念展、会期、7月15日⇒8月5日、会場、新川小学校、主催、函館市,505,,131.0
po000068,東日本名物名産共進展　,港まつり恊賛、東日本名物名産共進展、6月28日～7月6日、共催・函館市・函館商工会議所・国鉄函館営業所・函館観光恊会・北海道新聞函館支社、岐阜県以東北海道まで一都一道二十一県の工芸品郷土玩具お土産食料品等その地方の名物名産品をひろくとり蒐めて展示即売いたします、会場、ボーニ森屋二階ホール,157,,155.0
po000069,北海道立美術館　1971,北海道立美術館、1971、常設展示、三岸好太郎作品展・道内物故作家作品展・国内外現代版画展・その他、特別企画展、海老原喜之助・素描・水彩・版画展・国宝源氏物語絵巻展・第4回北海道秀作美術展・同巡回展・その他、Exhibitions(Exhibitsonpermanentdispia)WorksofMIGISHIKOTARO・ModernMasterpiecesbyLateArtistsofHokkaido(OilPaintings・Drawings・Sculptures・etc.)PrintsbyContemporaryJapanese&OverseasArtistsSpecialExhibitionsEBIHARAKINOSUKE…Water-colorPaintingsPrints・DrawingNationalTreasure：TheScrollsofGENJIMONOGATARIThe4thExhibitionoftheFineArtsofHokkaido、andVisitingExhibitions、友の会、美術鑑賞講座・美術講演会・実技講習会・美術鑑賞旅行・美術映画会・その他、列品解説案内、常設展・団体、その他申し込みがあれば随時、特別展、日時はそのつど定める（随時入会可能）、開館時間、午前10時～午後5時、休館日、毎週月曜・祝日・年末年始、入館料、無料（特別企画は別に定める）、Days：Opendaily10a.m.～5p.m.closedMondaysandHolidays、Admission：Free、Adress：1North5westSapporoHokkaido、THEMUSEUMOFARTHOKKAIDO、札幌市北1西5、TEL221-0811、昭和46年4月11日受付,774,,126.0
po000070,函館開港百年祭,函館開港百年祭、記念たばこ、いこい発売、七月十二日、函館市・函館開港百年祭実行委員会,1749,,131.0
po000072,古代カルタゴ美術展,冬休みスペシャル、ローマ帝国の遺宝、チュニジア・バルドー国立博物館特別出品、古代カルタゴ美術展、1月11日(木)～23日(火)、さっぽろ東急百貨店9階催物場（水曜休館）、主催＝チュニジア文化省・チュニジア国立美術考古学研究所・古代カルタゴ美術展実行委員会・北海道新聞社、後援＝チュニジア外務省・在日チュニジア大使館・外務省・文化庁・北海道教育委員会・札幌市教育委員会、協力＝エールフランス、入場料＝一般500円・高・大生300円・小・中生200円、※前売各100円引、老人のマスク・踊る小人・カメオ・ヘラクレス像の写真付き、東急のマークあり,953,,125.0
