clusterId,rep_word1,rep_word2,rep_word3,rep_word4,rep_word5
1,母,娘,子,兄,男
2,永遠,愛,少女,大地,暗黒
3,槍,軍,敵,騎士,騎兵
4,姿,世界,女性,着物,少年
5,商店,商会,合名,合資,大津屋
6,西川,森屋,林,岩橋,関
7,礼助,益太郎,佐々木,中村,檀野
8,清酒,醸,正宗,醸造,醤油
9,上布,絹,瓦,硝子,ガラス
10,鮭,味噌,魚,鱒,塩鮭
11,飴,椿油,煙草,菓子,粉
12,徳,貞,宗,喜,八郎
13,江戸,天狗,誂,お吉,嘉兵衛
14,而御,宝,上人,観音,喪儀
15,さくら,若葉,花,鶴,ともえ
16,落語,講談,演芸,スタア,東京
17,劇,夕,夜,椿姫,夕鶴
18,包装,紙,呉服,茶舗,洋品
19,ビール,サッポロ,キリン,,
20,輸出,輸入,輸出入,生産,商標
21,塗料,インキ,電球,荷造,パイプ
22,ストーブ,火,用心,夜,
23,ヘレン,コリー,オールド,ジュリエット,ホーク
24,ミルク,森永,チョコレート,飲料,牛乳
25,クリーム,リボン,シトロン,石鹸,整髪
26,three,alps,study,famous,around
27,no,新聞,ニュース,北海道,
28,hakodate,juno,kaisha,city,japan
29,北洋,博,函館,券,催物
30,競馬,函館,福島,,
31,東京,秩父,埼玉,奈良,京都
32,北海道,函館,東北,さっぽろ,雪まつり
33,函館,観光,トラピスチヌ,熊祭,北海道
34,函館,小樽,市,渡島,地方
35,函館,小樽,五稜郭,北海道,青森
36,松前,啄木,,,
37,祭,大祭,フェスティバル,合唱,劇
38,成人,学校,期,市,青年
39,美術,絵画,名品,巨匠,秀作
40,明治,箱館,幕末,戊辰,志士
41,まつり,開港,みなと,港,記念
42,記念,周年,行事,奉祝,会
43,募集,学生,生徒,学校,養成
44,大学,学校,学院,教育,商科
45,週間,図書,読書,全国,児童
46,選挙,議員,立憲,政治,委員
47,図書,文部,推薦,出版,会
48,図書,資料,分館,会,館内
49,会,博覧,振興,講演,発会
50,展覧,会,展,展示,絵画
51,大会,競技,マラソン,国体,会場
52,教育,講座,大学,科学,研究
53,市民,文化,会館,まつり,行事
54,予防,デー,むし歯,ムシ歯,結核
55,国民,社会,精神,運動,人々
56,コンサート,公演,フェスティバル,劇場,クリスマス
57,演奏,プロムジカ,絃楽,オーケストラ,合唱
58,ニュース,新聞,フォト,時事,写真
59,募集,作文,感想,懸賞,公募
60,カレンダー,癸巳,,,
61,福引,応援,募金,みんな,進呈
62,会社,株式,郵船,汽船,製糖
63,郵便,小包,年賀,料金,速達
64,貯蓄,所得,預貯金,利子,減税
65,公債,債券,保険,預金,売出し
66,航空,陸軍,訓練,海軍,演習
67,満州,満蒙,支那,東亜,報国
68,国勢,調査,,,
69,表,換算,建値,並,価格
70,商工,産業,工業,振興,畜産
71,水道,局,水,平成,
72,鉄道,線路,道路,図,所
73,科学,衛生,安全,交通,社会
