id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
3,3.0,4.0,5.0,6.0,12.0,11.0,63.0,60.0,14.0,20.0,1464.0,1469.0,1468.0,52.0,1523.0,1535.0,573.0,49.0,61.0,8.0,79.0,62.0,80.0,13.0,1539.0,89.0,1914.0,90.0,85.0,1784.0,1456.0,989.0,86.0,1487.0,33.0,1912.0,35.0,1908.0,1775.0,1559.0,1457.0,7.0,78.0,48.0,83.0,88.0,1463.0,99.0,84.0,1484.0,1520.0,1485.0,1922.0,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3.0,4.0,5.0,6.0,12.0,11.0,63.0,60.0,14.0,20.0,1464.0,1469.0,1468.0,52.0,1523.0,1535.0,573.0,49.0,61.0,8.0,79.0,62.0,80.0,13.0,1539.0,89.0,1914.0,90.0,85.0,1784.0,1456.0,989.0,86.0,1487.0,33.0,1912.0,35.0,1908.0,1775.0,1559.0,1457.0,7.0,78.0,48.0,83.0,88.0,1463.0,99.0,84.0,1484.0,1520.0,1485.0,1922.0,1933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,5.0,12.0,11.0,63.0,60.0,20.0,14.0,1464.0,1468.0,1469.0,1523.0,1535.0,3.0,4.0,49.0,13.0,62.0,52.0,1539.0,61.0,1784.0,90.0,989.0,89.0,86.0,573.0,79.0,80.0,1914.0,8.0,85.0,88.0,142.0,1950.0,628.0,1912.0,1456.0,1908.0,1926.0,530.0,1487.0,33.0,35.0,226.0,1775.0,1570.0,1520.0,1822.0,1872.0,1860.0,1934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,5.0,12.0,11.0,63.0,60.0,20.0,14.0,1464.0,1468.0,1469.0,1523.0,1535.0,3.0,4.0,49.0,13.0,62.0,52.0,1539.0,61.0,1784.0,90.0,989.0,89.0,86.0,573.0,79.0,80.0,1914.0,8.0,85.0,88.0,142.0,1950.0,628.0,1912.0,1456.0,1908.0,1926.0,530.0,1487.0,33.0,35.0,226.0,1775.0,1570.0,1520.0,1822.0,1872.0,1860.0,1934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,48.0,78.0,99.0,84.0,83.0,80.0,79.0,85.0,8.0,62.0,90.0,89.0,1914.0,1908.0,1915.0,1910.0,81.0,61.0,86.0,88.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,1914.0,78.0,48.0,84.0,99.0,83.0,4.0,7.0,3.0,1908.0,61.0,573.0,79.0,80.0,1922.0,1933.0,52.0,989.0,62.0,1464.0,14.0,20.0,60.0,63.0,1468.0,1469.0,85.0,6.0,5.0,11.0,12.0,1535.0,1523.0,90.0,1915.0,1463.0,89.0,1910.0,565.0,1501.0,1777.0,1485.0,86.0,532.0,516.0,1491.0,1487.0,1539.0,1775.0,1483.0,1456.0,1784.0,35.0,1588.0,33.0,1912.0,1470.0,561.0,2024.0,2020.0,2021.0,2023.0,2022.0,1484.0,1480.0,1474.0,76.0,1462.0,1256.0,88.0,1486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,536.0,505.0,35.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6.0,5.0,12.0,11.0,63.0,60.0,20.0,14.0,1464.0,1468.0,1469.0,1523.0,1535.0,3.0,4.0,49.0,13.0,62.0,52.0,1539.0,61.0,1784.0,90.0,989.0,89.0,86.0,573.0,79.0,80.0,1914.0,8.0,85.0,88.0,142.0,1950.0,628.0,1912.0,1456.0,1908.0,1926.0,530.0,1487.0,33.0,35.0,226.0,1775.0,1570.0,1520.0,1822.0,1872.0,1860.0,1934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6.0,5.0,12.0,11.0,63.0,60.0,20.0,14.0,1464.0,1468.0,1469.0,1523.0,1535.0,3.0,4.0,49.0,13.0,62.0,52.0,1539.0,61.0,1784.0,90.0,989.0,89.0,86.0,573.0,79.0,80.0,1914.0,8.0,85.0,88.0,142.0,1950.0,628.0,1912.0,1456.0,1908.0,1926.0,530.0,1487.0,33.0,35.0,226.0,1775.0,1570.0,1520.0,1822.0,1872.0,1860.0,1934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
